grp_key,loan_count,avg_orig_upb,avg_credit_score,default_rate,property_state
AK,2,"$373,000.00",735.5,0.00%,AK
AL,13,"$170,307.69",740.3,7.69%,AL
AR,5,"$147,000.00",737.6,0.00%,AR
AZ,24,"$182,916.67",719.3,29.17%,AZ
CA,49,"$249,571.43",712.8,34.69%,CA
CO,10,"$191,800.00",756.9,0.00%,CO
CT,13,"$246,230.77",707.8,7.69%,CT
DC,1,"$292,000.00",656.0,0.00%,DC
DE,4,"$155,500.00",751.3,0.00%,DE
FL,56,"$171,785.71",707.6,42.86%,FL
GA,30,"$192,800.00",741.8,10.00%,GA
HI,10,"$326,200.00",737.2,10.00%,HI
IA,9,"$143,555.56",712.9,0.00%,IA
ID,8,"$200,125.00",684.9,12.50%,ID
IL,36,"$187,361.11",714.7,27.78%,IL
IN,22,"$119,681.82",733.7,9.09%,IN
KS,6,"$122,666.67",725.5,16.67%,KS
KY,10,"$130,100.00",737.2,20.00%,KY
LA,10,"$171,300.00",748.9,20.00%,LA
MA,30,"$241,966.67",718.6,13.33%,MA
MD,21,"$192,095.24",702.4,9.52%,MD
ME,6,"$176,000.00",700.8,16.67%,ME
MI,18,"$153,500.00",739.8,16.67%,MI
MN,14,"$191,142.86",713.2,28.57%,MN
MO,12,"$114,666.67",708.5,8.33%,MO
MS,5,"$128,800.00",657.8,0.00%,MS
MT,4,"$276,000.00",780.5,0.00%,MT
NC,22,"$158,272.73",741.8,9.09%,NC
NE,4,"$155,250.00",751.3,0.00%,NE
NH,9,"$248,888.89",719.6,33.33%,NH
NJ,25,"$228,680.00",722.4,16.00%,NJ
NM,6,"$184,666.67",740.7,16.67%,NM
NV,8,"$255,625.00",744.0,12.50%,NV
NY,23,"$193,608.70",709.3,13.04%,NY
OH,28,"$153,571.43",725.7,21.43%,OH
OK,6,"$127,500.00",721.5,0.00%,OK
OR,14,"$201,785.71",740.9,0.00%,OR
PA,28,"$172,214.29",727.1,14.29%,PA
PR,3,"$181,666.67",721.0,33.33%,PR
RI,4,"$175,250.00",756.8,0.00%,RI
SC,9,"$145,222.22",710.1,11.11%,SC
TN,17,"$151,294.12",732.1,5.88%,TN
TX,35,"$155,600.00",700.7,8.57%,TX
UT,9,"$183,222.22",727.6,0.00%,UT
VA,28,"$190,714.29",720.1,7.14%,VA
VT,1,"$186,000.00",816.0,0.00%,VT
WA,27,"$207,740.74",731.6,14.81%,WA
WI,24,"$154,375.00",721.3,4.17%,WI
WV,6,"$130,500.00",700.0,16.67%,WV
WY,1,"$132,000.00",663.0,0.00%,WY
